case,segment,start_frame,end_frame,start_s,end_s,span_s,rows,speed_error_rms,jerk_lon_abs_p95,speed_mean,desired_mean,model_stop_ticks,drive_ticks,low_speed_ticks,low_speed_drive_ticks,target_rule_ticks,arbitration_available_ticks,arbitration_attenuation_mean_deg,target_rule_mismatch_ticks,reverse_guard_ticks,selected_vs_applied_previous_max,steer_saturated_ticks
1773:native_common,full,2950,6949,0.0,199.95000297948718,199.95000297948718,4000,4.2257549895755675,38.504049943001164,0.2303578866128916,4.002852329177192,150,3696,3682,3467,3854,3999,13.672676420543185,0,68,0.0,70
1773:native_common,precontact,2950,3673,0.0,36.15000053867698,36.15000053867698,724,1.440066991530357,335.2868491113924,1.2432367303634746,1.9179129668903472,150,488,407,260,691,723,14.463040372014264,0,0,0.0,0
1773:native_common,contact_and_after,3674,6949,36.200000539422035,199.95000297948718,163.75000244006515,3276,4.619555886594322,12.13001271649028,0.006510425417707817,4.462990045579326,0,3208,3275,3207,3163,3276,13.498246281070175,0,68,0.0,70
1773:native_common,fixed_5s_000,2950,3049,0.0,4.950000073760748,4.950000073760748,100,3.5377048638433624,49.68254644339636,4.677729385358844,7.130103186726169,0,89,14,13,93,99,7.553115001136384,0,0,0.0,0
1773:native_common,fixed_5s_005,3050,3149,5.000000074505806,9.950000148266554,4.950000073760748,100,1.1091599585105385,391.5862738944434,2.539234614798479,3.016666649132967,0,72,14,14,98,100,6.461742224076205,0,0,0.0,0
1773:native_common,fixed_5s_010,3150,3249,10.000000149011612,14.95000022277236,4.950000073760748,100,0.5408050135123412,434.72854906303826,0.573691129112795,0.9321522688865662,1,81,38,37,97,100,10.78714360781988,0,0,0.0,0
1773:native_common,fixed_5s_015,3250,3349,15.000000223517418,19.950000297278166,4.950000073760748,100,0.5870674930928917,352.6226300815756,0.3344365146723101,0.7311508452768127,9,77,68,62,95,100,15.964613116797006,0,0,0.0,0
1773:native_common,fixed_5s_020,3350,3449,20.000000298023224,24.950000371783972,4.950000073760748,100,0.45611205103430547,199.57659892040613,0.07020064565942838,0.4685329601292809,48,51,98,51,98,100,21.989799565331918,0,0,0.0,0
1773:native_common,fixed_5s_025,3450,3549,25.00000037252903,29.950000446289778,4.950000073760748,100,0.41116607426674956,101.9884898098792,0.04007685151559194,0.4079267253385236,59,40,99,40,96,100,22.023926569095234,0,0,0.0,0
1773:native_common,fixed_5s_030,3550,3649,30.000000447034836,34.950000520795584,4.950000073760748,100,0.5228932562033521,331.89921116514193,0.24528637342974682,0.6598283097396295,33,60,76,43,92,100,17.43431320085124,0,0,0.0,0
1773:native_common,fixed_5s_035,3650,3749,35.00000052154064,39.95000059530139,4.950000073760748,100,2.0983467530169797,35.078833180782475,0.5558236581201698,2.360497957766056,0,91,75,72,94,100,10.421152761461574,0,3,0.0,0
1773:native_common,fixed_5s_040,3750,3849,40.00000059604645,44.950000669807196,4.950000073760748,100,2.45546576540181,12.694799848062402,0.01116485735785808,2.3310820029179253,0,99,100,99,92,100,11.846403408714448,0,1,0.0,0
1773:native_common,fixed_5s_045,3850,3949,45.000000670552254,49.950000744313,4.950000073760748,100,2.700627360554912,10.975044176478542,0.010262552935511373,2.516801208158334,0,99,100,99,97,100,16.14172512653883,0,1,0.0,0
